"Vowing to serve his country any way he could, young Steve Rogers took the super soldier serum to become America's one-man army. Fighting for the red, white and blue for over 60 years, Captain America is the living, breathing symbol of freedom and liberty.",3,1,1422,6,355,4,false,false,false,true,1009220,Captain America,,"Captain America represented the pinnacle of human physical perfection. He experienced a time when he was augmented to superhuman levels, but generally performed just below superhuman levels for most of his career. Captain America had a very high intelligence as well as agility, strength, speed, endurance, and reaction time superior to any Olympic athlete who ever competed. The Super-Soldier formula that he had metabolized had enhanced all of his bodily functions to the peak of human efficiency. Most notably, his body eliminates the excessive build-up of fatigue-producing poisons in his muscles, granting him phenomenal endurance.","Steven ""Steve"" Rogers",3,3,//i.annihil.us/u/prod/marvel/i/mg/3/50/537ba56d31087.jpg,2270
"",1,1,10,1,575,1,false,false,true,true,1011055,Gideon,,"Gideon had the mutant power to mimic other superhuman powers in his vicinity based on their genetic templates. He is known to have mastered the ability to absorb at least six powers at once and use all copied abilities simultaneously, often in ways the original owners had not yet considered. Gideon had access to genetic templates at his home and businesses, thus enabling him to mimic powers even when superpowered beings were not present. As an External, Gideon was virtually immortal, able to recover from nearly any injury.",Gideon,1,1,//i.annihil.us/u/prod/marvel/i/mg/c/20/4c00311236811.jpg,7825
"",7,7,27,3,947,4,false,false,false,true,1009473,Nightmare,,"A demon of great mystical power, Nightmare usually targets his victims while they sleep by drawing their psyches into his Nightmare World, the substance and contents of which he can manipulate and reshape at will. He can trap psyches indefinitely but usually only torments souls temporarily lest he permanently deplete the psychic energies he consumes. While inside his own realm, Nightmare is virtually omnipotent; however, he is less powerful and more vulnerable when he manifests outside his kingdom, and was particularly diminished when he assumed mortal form as Edvard Haberdash.",Unknown,7,6,//i.annihil.us/u/prod/marvel/i/mg/2/40/4c003d1b26622.jpg,1886
"",1,1,6,1,960,1,false,false,true,true,1010707,Nuke,,"Nuke was very strong for a normal human (above peak physical strength), and almost impervious to pain and conventional injury. He also possessed superhuman speed with peak range of 700 mph. The latter was due to his skin which had been reinforced with some sort of plastic.",Frank Simpson,1,1,//i.annihil.us/u/prod/marvel/i/mg/c/10/4ce5a28ac1c48.jpg,4611
"",1,1,0,1,997,1,false,false,true,true,1011151,Praxagora,,"She is powered by an internal fusion core (it is actually a miniature star) located in her chest, providing her with limitless power, which she can discharge through her arms as superheated plasma streams, power enough to cut through most spaceships hulls. This energy also enables flight or the blocking of incoming attacks. As a fatal last resort, she can initiate a catastrophic reactor overload, building up to a powerful explosion of unspecified magnitude. She has transcendental strength.",Praxagora,1,1,//i.annihil.us/u/prod/marvel/i/mg/c/20/4c002f58eeeb4.jpg,14784
"",2,1,43,4,1163,3,false,false,false,true,1010898,Sin,,"",Sinthea Shmidt,2,1,//i.annihil.us/u/prod/marvel/i/mg/e/70/5269647684f61.jpg,22284
"",3,3,286,6,1772,3,false,false,false,true,1009189,Black Widow,,"Government treatments have slowed her aging, augmented her immune system and enhanced her physical durability.","Natalia ""Natasha"" Alianovna Romanova",2,3,http://i.annihil.us/u/prod/marvel/i/mg/f/30/50fecad1f395b.jpg,2585
"Wounded, captured and forced to build a weapon by his enemies, billionaire industrialist Tony Stark instead created an advanced suit of armor to save his life and escape captivity. Now with a new outlook on life, Tony uses his money and intelligence to make the world a safer, better place as Iron Man.",6,6,2028,3,1751,6,false,false,false,true,1009368,Iron Man,,"None; Tony's body had been enhanced by the modified techno-organic virus, Extremis, but it is currently inaccessible and inoperable.","Anthony Edward ""Tony"" Stark",5,6,//i.annihil.us/u/prod/marvel/i/mg/2/d0/5232190d42df2.jpg,2619
"",5,1,11,4,593,6,false,false,false,true,1010743,Groot,,"Groot was extremely powerful and resilient, he has the power or regeneration allowing him to re-grow limbs and even his entire form. He also has powers of the mind, although they only appear to work on plant life, allowing him to communicate with other trees and command them to attack those that oppose him. He is highly vulnerable to attacks of fire.",Groot,2,5,//i.annihil.us/u/prod/marvel/i/mg/3/10/526033c8b474a.jpg,20949
"",1,1,0,1,863,2,false,false,false,true,1009490,May Parker,,None,May Reilly Parker,2,1,//i.annihil.us/u/prod/marvel/i/mg/c/30/535fec80bb4a6.jpg,9355
