"Warstar, a former member of the Imperial Guard, was one of eight Imperial Guardsmen chosen to battle the team of superhuman Earthling mutants known as the X-Men over the fate of Phoenix, a primal force of the cosmos that had assumed the form of the X-Man Jean Grey.",1,1,9,1,1402,1,false,false,true,true,1009706,Warstar,,"Warstar is an alien mechanoid symbiote of two separate beings, the small B'nee and the giant-sized C'cil. The giant C'cil possesses enhanced strength and durability, whilst the diminutive B'nee has the ability to electrically shock an opponent with his touch. B'nee and C'cil are able to communicate with each other telepathically, as well as sharing an empathic bond wherein if one is injured, the other also feels pain.  C'cil relies on B'nee to guide him on combat thanks to his lower than average intelligence.  As a result, B'nee is often seen riding in a cavity within C'cil's back.",B'nee and C'cil,1,1,//i.annihil.us/u/prod/marvel/i/mg/2/e0/4c003a73b6673.jpg,4476
"Originally a partner of the mind-altering assassin Black Swan, Nijo spied on Deadpool as part of the Swan's plan to exact revenge for Deadpool falsely taking credit for the Swan's assassination of the Four Winds crime family, which included Nijo's brother.",,,,,202,,false,true,true,false,1011031,Agent X (Nijo),1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,209,,false,true,true,false,1011194,Akemi,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,210,,false,true,true,false,1009240,Albert Cleary,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,214,,false,true,true,false,1011214,Alexa Mendez,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,215,,false,true,true,false,1009497,Alexander Pierce,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,219,,false,true,true,false,1011324,Alpha Flight (Ultimate),1576,"","Base of OperationsDepartment H, Ontario, Canada; formerly Tamarind Island, British Columbia, Canada; Mansion Alpha, Winnipeg, Canada",,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,220,,false,true,true,false,1011164,Alvin Maker,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,221,,false,true,true,false,1009567,Amanda Sefton,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
"",,,,,222,,false,true,true,false,1011382,Amazoness,1576,,,,,//i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,
